edgeID,startNode,endNode
lPARK001GG_lWALK004GG,lPARK001GG,lWALK004GG
lPARK002GG_lWALK004GG,lPARK002GG,lWALK004GG
lPARK003GG_lWALK004GG,lPARK003GG,lWALK004GG
lPARK004GG_lWALK004GG,lPARK004GG,lWALK004GG
lPARK005GG_lWALK004GG,lPARK005GG,lWALK004GG
lPARK006GG_lWALK004GG,lPARK006GG,lWALK004GG
lPARK007GG_lWALK004GG,lPARK007GG,lWALK004GG
lPARK008GG_lWALK004GG,lPARK008GG,lWALK004GG
lPARK009GG_lWALK004GG,lPARK009GG,lWALK004GG
lPARK010GG_lWALK004GG,lPARK010GG,lWALK004GG
lPARK011GG_lWALK001GG,lPARK011GG,lWALK001GG
lPARK012GG_lWALK001GG,lPARK012GG,lWALK001GG
lPARK013GG_lWALK001GG,lPARK013GG,lWALK001GG
lPARK014GG_lWALK001GG,lPARK014GG,lWALK001GG
lPARK015GG_lWALK001GG,lPARK015GG,lWALK001GG
lPARK016GG_lWALK001GG,lPARK016GG,lWALK001GG
lPARK017GG_lWALK001GG,lPARK017GG,lWALK001GG
lPARK018GG_lWALK001GG,lPARK018GG,lWALK001GG
lPARK019GG_lWALK001GG,lPARK019GG,lWALK001GG
lPARK020GG_lWALK001GG,lPARK020GG,lWALK001GG
lPARK021GG_lWALK001GG,lPARK021GG,lWALK001GG
lPARK022GG_lWALK001GG,lPARK022GG,lWALK001GG
lPARK023GG_lWALK001GG,lPARK023GG,lWALK001GG
lPARK024GG_lWALK001GG,lPARK024GG,lWALK001GG
lPARK025GG_lWALK001GG,lPARK025GG,lWALK001GG
lWALK001GG_lWALK002GG,lWALK001GG,lWALK002GG
lWALK002GG_lWALK003GG,lWALK002GG,lWALK003GG
lWALK003GG_lWALK004GG,lWALK003GG,lWALK004GG
lWALK002GG_lEXIT001GG,lWALK002GG,lEXIT001GG
lWALK002GG_lEXIT002GG,lWALK002GG,lEXIT002GG